id,date,sentiment,rating
243007,2023-01-01,sad,5
243007,2023-01-02,sad,0
243007,2023-01-03,happy,3
243007,2023-01-04,happy,5
243007,2023-01-05,happy,0
243007,2023-01-06,sad,2
243007,2023-01-07,sad,1
243007,2023-01-08,sad,1
243007,2023-01-09,happy,1
243007,2023-01-10,sad,0
243007,2023-01-11,sad,3
243007,2023-01-12,sad,1
243007,2023-01-13,happy,3
243007,2023-01-14,happy,4
243007,2023-01-15,sad,2
243007,2023-01-16,sad,4
243007,2023-01-17,happy,0
243007,2023-01-18,happy,4
243007,2023-01-19,sad,3
243007,2023-01-20,sad,3
243007,2023-01-21,happy,3
243007,2023-01-22,sad,0
243007,2023-01-23,sad,3
243007,2023-01-24,happy,5
243007,2023-01-25,happy,0
243007,2023-01-26,sad,5
243007,2023-01-27,happy,4
243007,2023-01-28,sad,0
243007,2023-01-29,happy,5
243007,2023-01-30,happy,0
986909,2023-01-01,happy,3
986909,2023-01-02,happy,5
986909,2023-01-03,sad,1
986909,2023-01-04,sad,2
986909,2023-01-05,sad,1
986909,2023-01-06,happy,0
986909,2023-01-07,sad,1
986909,2023-01-08,happy,3
986909,2023-01-09,happy,5
986909,2023-01-10,happy,4
986909,2023-01-11,sad,0
986909,2023-01-12,sad,5
986909,2023-01-13,sad,0
986909,2023-01-14,happy,3
986909,2023-01-15,happy,1
986909,2023-01-16,sad,2
986909,2023-01-17,sad,0
986909,2023-01-18,sad,0
986909,2023-01-19,happy,2
986909,2023-01-20,sad,2
986909,2023-01-21,happy,5
986909,2023-01-22,happy,1
986909,2023-01-23,sad,0
986909,2023-01-24,happy,3
986909,2023-01-25,sad,2
986909,2023-01-26,happy,1
986909,2023-01-27,sad,3
986909,2023-01-28,happy,0
986909,2023-01-29,sad,1
986909,2023-01-30,happy,0
854546,2023-01-01,sad,4
854546,2023-01-02,happy,2
854546,2023-01-03,happy,3
854546,2023-01-04,happy,5
854546,2023-01-05,happy,4
854546,2023-01-06,sad,5
854546,2023-01-07,happy,5
854546,2023-01-08,happy,3
854546,2023-01-09,happy,2
854546,2023-01-10,happy,4
854546,2023-01-11,sad,4
854546,2023-01-12,happy,1
854546,2023-01-13,happy,5
854546,2023-01-14,sad,5
854546,2023-01-15,happy,0
854546,2023-01-16,sad,1
854546,2023-01-17,sad,4
854546,2023-01-18,happy,5
